uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF,publicationDate,release
4930e0ef-3fcc-44b5-afac-3ecfb40096f8,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-06-16T17:25:00Z,HARV.2016.24,HARV_006.20160616,NA,drag and flag,160,Y,0,0,1,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,NA,20260107T162629Z,RELEASE-2026
4775e57e-6453-4efc-9450-c5a22042af5a,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-06-16T18:21:00Z,HARV.2016.24,HARV_001.20160616,NA,drag and flag,160,Y,0,4,5,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162629Z,RELEASE-2026
3577b839-f0ec-4088-b2a6-642aaa870d41,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-07-07T12:33:00Z,HARV.2016.27,HARV_022.20160707,NA,drag and flag,160,Y,0,5,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
13d50b11-88a3-43e2-b36d-c05695f9ab2f,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-07-07T14:11:00Z,HARV.2016.27,HARV_001.20160707,NA,drag and flag,160,Y,0,2,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
a8f02b04-fc51-4c47-820f-9efdee8e5d3d,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-07-07T15:28:00Z,HARV.2016.27,HARV_020.20160707,NA,drag and flag,160,Y,1,6,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
5023d6c9-c84a-4c31-8098-f1c157bcf55d,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-07-07T16:24:00Z,HARV.2016.27,HARV_004.20160707,NA,drag and flag,160,Y,1,3,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
d0892e4c-5b48-4202-8361-951d4a20e997,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-07-07T17:14:00Z,HARV.2016.27,HARV_026.20160707,NA,drag and flag,160,Y,3,1,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
ada4043b-902c-45f8-bd16-701b9d3549b9,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-07-07T18:09:00Z,HARV.2016.27,HARV_006.20160707,NA,drag and flag,160,Y,1,0,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
2aa13b4f-e3c8-4b9c-a89a-ed69890c5949,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-07-27T12:30:00Z,HARV.2016.30,HARV_022.20160727,NA,drag and flag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vG,Swilson@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
9984528b-92a8-495a-a9ca-dd014044cd2c,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-07-27T13:35:00Z,HARV.2016.30,HARV_004.20160727,NA,drag and flag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
138c2424-e8fa-43e9-a4e2-9cc740023392,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-07-27T14:17:00Z,HARV.2016.30,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
f3719961-ef80-4602-b683-84919c80feba,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-07-27T15:54:00Z,HARV.2016.30,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
b3e4393c-14e5-4c92-9ef2-82b4b763fc1f,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-07-27T16:55:00Z,HARV.2016.30,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
282d537d-156c-4464-83bf-0f9060ceb454,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-07-27T17:30:00Z,HARV.2016.30,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T162422Z,RELEASE-2026
7f8aa796-18e2-4e9d-ab78-f4bdc5d95411,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-05-06T15:17:00Z,HARV.2016.18,HARV_022.20160506,NA,drag and flag,160,Y,1,0,0,No known compromise,NEON.DOC.014045vG,cgoranson@neoninc.org,NA,ID lab larva count higher than field (PDE >25%),20260107T162202Z,RELEASE-2026
549b8ccc-060e-4359-8fc6-2183b7032d1d,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-05-06T16:30:00Z,HARV.2016.18,HARV_004.20160506,NA,drag and flag,160,Y,1,0,0,Other (described in remarks),NEON.DOC.014045vG,EHardiman@field-ops.org,"no taxonomy data, only field count data available.",NA,20260107T162202Z,RELEASE-2026
ce5a9917-b0e2-4351-aa18-05beb4f24c38,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-05-06T17:09:00Z,HARV.2016.18,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,cgoranson@neoninc.org,NA,NA,20260107T162202Z,RELEASE-2026
491d47ba-0e47-4533-8256-dcbc7ba3961b,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-05-06T17:50:00Z,HARV.2016.18,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,EHardiman@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
3f5779b3-eae9-4dbe-a51c-7c4a37715e32,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-05-10T13:54:00Z,HARV.2016.19,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Jbreault@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
9b35fa93-c05f-4894-9f40-3ce3b4c1729d,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-05-10T15:15:00Z,HARV.2016.19,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
449a97f6-9e40-49e1-92c5-a93fa3f78fa1,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-05-26T13:19:00Z,HARV.2016.21,HARV_022.20160526,NA,drag and flag,160,Y,0,10,0,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
6f841879-535f-4910-89ce-1e5c20f4af96,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-05-26T14:20:00Z,HARV.2016.21,HARV_004.20160526,NA,drag and flag,160,Y,1,8,0,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
36b9a1ec-7086-443a-b2a5-7b9e78ea6c0d,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-05-26T15:17:00Z,HARV.2016.21,HARV_020.20160526,NA,drag and flag,151,Y,1,4,0,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,NA,20260107T162202Z,RELEASE-2026
3a0e12c0-9ec0-4e25-9769-1cb63a40d8ae,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-05-26T16:38:00Z,HARV.2016.21,HARV_001.20160526,NA,drag and flag,160,Y,0,6,2,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162202Z,RELEASE-2026
dd336fb3-6914-4a55-bd4e-dea8aee3ad38,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-05-26T17:25:00Z,HARV.2016.21,HARV_006.20160526,NA,drag and flag,160,Y,0,0,13,No known compromise,NEON.DOC.014045vG,AUccello@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162202Z,RELEASE-2026
af7c2e0c-016e-4348-bd4f-bd66ebbd8190,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-05-26T18:04:00Z,HARV.2016.21,HARV_026.20160526,NA,drag and flag,160,Y,0,1,5,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,field larva count higher than ID lab (PDE >25%),20260107T162202Z,RELEASE-2026
ebd3b2eb-6602-4ed1-80be-33a7c5fde84e,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-08-18T13:11:00Z,HARV.2016.33,HARV_006.20160818,NA,drag and flag,160,Y,0,0,6,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
744e9733-7056-45cf-8108-7682c3d0f615,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-08-18T13:56:00Z,HARV.2016.33,HARV_026.20160818,NA,drag and flag,160,Y,0,2,0,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
411deb87-12ea-429f-a820-282c54815226,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-08-18T15:00:00Z,HARV.2016.33,HARV_001.20160818,NA,drag and flag,160,Y,0,1,80,No known compromise,NEON.DOC.014045vG,Kschumacher@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
5c3112e5-d057-4533-b386-6385c0c6b5a7,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-08-18T17:00:00Z,HARV.2016.33,HARV_020.20160818,NA,drag and flag,160,Y,0,1,5,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
945dd7cc-1572-4c93-89a1-a28e33e9b61a,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-08-18T17:40:00Z,HARV.2016.33,HARV_004.20160818,NA,drag and flag,160,Y,0,1,5,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
4b621888-a963-493f-b5e9-b52d9a5f2fb7,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-08-18T18:26:00Z,HARV.2016.33,HARV_022.20160818,NA,drag and flag,160,Y,0,2,452,No known compromise,NEON.DOC.014045vG,EEimers@field-ops.org,NA,NA,20260107T160736Z,RELEASE-2026
adba53d1-b11d-41d2-83ad-ce97077f107b,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-09-08T12:25:00Z,HARV.2016.36,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
c5835f10-f99e-4010-b200-4b92ab3507f7,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-09-08T13:39:00Z,HARV.2016.36,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
f300530d-fb50-45db-9ea3-321ea6a998cf,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-09-08T14:15:00Z,HARV.2016.36,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
0aa89ef2-d515-4802-a7d9-8054b3ff8f21,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-09-08T15:53:00Z,HARV.2016.36,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
187bbbf4-4862-4fd1-9831-8c57b62bb515,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-09-08T17:00:00Z,HARV.2016.36,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
1270da47-eddd-46fa-a46a-49246337d340,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-09-08T17:53:00Z,HARV.2016.36,HARV_020.20160908,NA,drag,160,Y,0,1,0,No known compromise,NEON.DOC.014045vG,GVanScoy@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
a95ac420-d520-4e7c-a91e-72ab073f8540,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-09-29T12:17:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
c585ff10-da60-460a-917c-f11ca39ad4ba,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-09-29T13:12:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
a20e7c63-3356-4d45-a9bd-c9f860e24a7d,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-09-29T13:49:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
8d6524ce-761e-400d-9d18-ba9c3fa87798,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-09-29T14:36:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
2cd2c13d-d4d2-46dc-840f-fc318bf1bda5,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-09-29T15:19:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Nflannery@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
050c4f64-9a85-4dff-9c8c-b1feaee19c26,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-09-29T15:49:00Z,HARV.2016.39,NA,NA,drag and flag,80,N,0,0,0,No known compromise,NEON.DOC.014045vG,Mday@field-ops.org,NA,NA,20260107T161609Z,RELEASE-2026
b8162703-5159-441b-882e-683c52ccba9b,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-10-26T12:15:00Z,HARV.2016.43,HARV_004.20161026,NA,drag,160,Y,1,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160839Z,RELEASE-2026
eaf66fd0-16e1-4b95-b6d7-4a33e87fa2b6,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-10-26T13:20:00Z,HARV.2016.43,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,jwebber@field-ops.org,NA,NA,20260107T160839Z,RELEASE-2026
d0fe820e-c839-4442-8ad2-04addc9f4b94,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-10-26T14:30:00Z,HARV.2016.43,NA,NA,drag and flag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160839Z,RELEASE-2026
5f19ce69-2863-4568-aa3c-aca524bdc360,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-10-26T15:30:00Z,HARV.2016.43,HARV_006.20161026,NA,drag,160,Y,0,98,0,No known compromise,NEON.DOC.014045vG,jwebber@field-ops.org,Many count in lab,ID lab larva count higher than field (PDE >25%),20260107T160839Z,RELEASE-2026
15314dbc-eadc-4091-8b94-f3938c0c7842,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-10-26T17:00:00Z,HARV.2016.43,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,jwebber@field-ops.org,NA,NA,20260107T160839Z,RELEASE-2026
3e83e63a-c6c5-46af-b251-aac5c2a6e206,HARV_022.tickPlot.tck,D01,HARV,HARV_022,distributed,evergreenForest,42.435458,-72.199287,WGS84,20.2,185.9,0.5,NA,NA,2016-10-26T18:15:00Z,HARV.2016.43,NA,NA,drag,165,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160839Z,RELEASE-2026
d432b019-5306-43da-bb2d-7ef167a2ea37,HARV_004.tickPlot.tck,D01,HARV,HARV_004,distributed,mixedForest,42.426877,-72.227953,WGS84,20.4,182.6,0.9,NA,NA,2016-11-07T14:52:00Z,HARV.2016.45,HARV_004.20161107,NA,drag,160,Y,2,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160944Z,RELEASE-2026
3605d3ea-8152-4fa6-abf1-9ca98432a2d1,HARV_020.tickPlot.tck,D01,HARV,HARV_020,distributed,woodyWetlands,42.438157,-72.228923,WGS84,20.2,228.3,0.3,NA,NA,2016-11-07T15:50:00Z,HARV.2016.45,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160944Z,RELEASE-2026
fe92e3d8-aafe-4925-a576-c0788cdf7007,HARV_026.tickPlot.tck,D01,HARV,HARV_026,distributed,evergreenForest,42.412057,-72.246527,WGS84,20.2,187.3,0.4,NA,NA,2016-11-07T16:44:00Z,HARV.2016.45,HARV_026.20161107,NA,drag and flag,160,Y,3,1,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160944Z,RELEASE-2026
cbbe4332-b461-44f0-aa9f-8e335aa97600,HARV_006.tickPlot.tck,D01,HARV,HARV_006,distributed,deciduousForest,42.401928,-72.2527,WGS84,20.3,190.8,0.5,NA,NA,2016-11-07T17:40:00Z,HARV.2016.45,HARV_006.20161107,NA,drag,160,Y,0,0,45,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160944Z,RELEASE-2026
36c7815c-caee-4624-a14b-b9d171044b44,HARV_001.tickPlot.tck,D01,HARV,HARV_001,distributed,deciduousForest,42.424217,-72.260096,WGS84,20.1,202.1,0.2,NA,NA,2016-11-07T19:00:00Z,HARV.2016.45,NA,NA,drag,160,N,0,0,0,No known compromise,NEON.DOC.014045vG,ramundson@field-ops.org,NA,NA,20260107T160944Z,RELEASE-2026
